# {"t_start": 1585597310.9387672, "env_id": "Pendulum-v0"} 
r,l,t
-145.267848,200,2261.63019
-523.902754,200,2261.722581
-407.395717,200,2261.815414
-13.223935,200,2261.90908
-153.21005,200,2262.002147
-1747.624531,200,2262.094937
-15.47489,200,2262.188162
-411.019307,200,2262.280561
-272.216388,200,2262.373124
-532.064283,200,2262.466387
-275.621709,200,2262.558945
-1699.246401,200,2262.963493
-16.702232,200,2263.056338
-145.177861,200,2263.149707
-400.109457,200,2263.242106
-393.934985,200,2263.336506
-141.692403,200,2263.429171
-156.363306,200,2263.522453
-680.384762,200,2263.615423
-270.816473,200,2263.707445
-399.865944,200,2263.800487
-515.550099,200,2264.198325
-15.623866,200,2264.292779
-1725.848,200,2264.384421
-563.820725,200,2264.486594
-399.923717,200,2264.579663
-537.728272,200,2264.673026
-409.887112,200,2264.766491
-145.558549,200,2264.859109
-158.841645,200,2264.951785
-393.146731,200,2265.045011
-16.477213,200,3236.335875
-1785.214067,200,3236.571549
-272.014508,200,3236.658928
-141.759414,200,3236.766008
-16.465784,200,3236.862406
-136.744168,200,3236.954686
-1752.087496,200,3237.047719
-403.962007,200,3237.141948
-161.895586,200,3237.232462
-514.086354,200,3237.342612
-535.639433,200,3231.437788
-266.024596,200,3231.53094
-139.29955,200,3231.623578
-283.719949,200,3231.716678
-31.302303,200,3231.809868
-281.120698,200,3231.904072
-1717.964797,200,3231.998291
-400.446151,200,3232.092581
-158.943325,200,3232.186971
-280.795298,200,3232.280061
-136.545233,200,3232.372424
-154.934354,200,3232.787741
-359.198193,200,3232.881365
-18.176268,200,3232.973325
-411.278024,200,3233.065773
-402.858544,200,3233.158393
-653.792804,200,3233.251269
-256.526232,200,3233.343436
-144.248068,200,3233.437802
-400.723821,200,3233.531339
-406.544133,200,3233.623694
-284.395339,200,3234.025463
-269.989708,200,3234.118696
-144.024355,200,3234.212782
-1684.482743,200,3234.305951
-143.828555,200,3234.398495
-14.072217,200,3234.491184
-401.418138,200,3234.58437
-402.018263,200,3234.676343
-1771.407832,200,3234.769578
-14.642575,200,3234.862357
-403.619729,200,3235.261787
-142.313625,200,3235.352411
-403.733979,200,3235.445674
-1762.122772,200,3235.540334
-399.759776,200,3235.635008
-407.130393,200,3235.727515
-1713.094755,200,3235.820513
-269.915038,200,3235.916529
-1742.276236,200,3236.009881
-143.647508,200,3236.102647
-392.658551,200,3236.507998
-143.951866,200,3236.601708
-278.890522,200,3236.69483
-149.892625,200,3236.787294
-457.567559,200,3236.880909
-517.295944,200,3236.974544
-290.786118,200,3237.066835
-142.905267,200,3237.160231
-265.594058,200,3237.253458
-395.884951,200,3237.345964
-15.569008,200,3237.439159
-826.421988,200,3237.853251
-278.604347,200,3237.947676
-399.656683,200,3238.039892
-536.876034,200,3238.132922
-520.800613,200,3238.225419
-471.761512,200,3238.319441
-1768.879714,200,3238.411906
-399.047861,200,3238.507095
-1760.503212,200,3238.599318
-269.554306,200,3238.692203
-145.70028,200,3239.109891
-407.102396,200,3239.211021
-141.370241,200,3239.304222
-1774.887855,200,3239.399239
-395.481091,200,3239.492527
-270.429139,200,3239.585851
-136.937486,200,3239.679249
-13.633985,200,3239.772728
-521.729617,200,3239.865958
-162.490089,200,3239.958115
-405.191186,200,3240.357947
-404.845793,200,3240.452904
-404.031565,200,3240.615837
-266.332748,200,3241.439371
-142.0684,200,3242.481901
-394.392371,200,3243.803106
-143.260479,200,3245.014131
-146.248058,200,3246.10382
-137.491871,200,3246.952118
-528.408407,200,3247.793506
-270.506234,200,3250.751869
-433.963793,200,3250.962817
-272.497582,200,3251.212518
-156.145069,200,3251.417602
-135.57431,200,3251.563708
-401.520326,200,3251.700531
-157.739906,200,3251.831262
-143.248574,200,3251.949017
-138.100558,200,3252.061494
-512.790675,200,3252.165938
-144.618559,200,3252.586671
-1809.229544,200,3252.678923
-14.510728,200,3252.772321
-1794.298004,200,3252.864484
-524.183362,200,3252.957273
-135.385457,200,3253.050566
-257.756968,200,3253.143732
-404.589767,200,3253.235842
-142.508373,200,3253.328883
-1808.17546,200,3253.421781
-285.161507,200,3253.514269
-405.194223,200,3253.927065
-387.46174,200,3254.020026
-145.972274,200,3254.113225
-269.324969,200,3254.20562
-403.105537,200,3254.298026
-139.38847,200,3254.390747
-397.64155,200,3254.484326
-268.163796,200,3254.576716
-138.336666,200,3254.670052
-273.803074,200,3254.762904
-274.120283,200,3255.176857
-1772.162824,200,3255.269054
-13.245888,200,3255.361801
-525.204698,200,3255.454733
-141.047036,200,3255.547465
-519.35792,200,3255.640539
-1785.5077,200,3255.733769
-274.936802,200,3255.826374
-273.626967,200,3255.918589
-140.63538,200,3256.012121
-521.154145,200,3256.418234
-555.601501,200,3256.511134
-265.107001,200,3256.603793
-691.508054,200,3256.696373
-141.671856,200,3256.790298
-1760.313186,200,3256.883691
-263.727361,200,3256.97668
-638.543342,200,3257.070132
-142.093167,200,3257.162886
-273.473533,200,3257.255533
-139.711031,200,3257.654534
-14.388797,200,3257.747086
-263.433826,200,3257.840795
-531.929275,200,3257.933545
-395.314499,200,3258.02816
-1800.696067,200,3258.120583
-274.992599,200,3258.212851
-703.001692,200,3258.305638
-397.294009,200,3258.397131
-1787.584301,200,3258.489834
-17.198779,200,3258.583124
-274.341478,200,3258.972191
-145.709662,200,3259.06574
-784.261236,200,3259.158753
-1374.101892,200,3259.251661
-554.929605,200,3259.344662
-378.448784,200,3259.437634
-14.6435,200,3259.530441
-522.910503,200,3259.623925
-14.728728,200,3259.716757
-141.79481,200,3259.810629
-143.807721,200,3260.198661
-1790.554239,200,3260.292027
-135.574472,200,3260.385719
-275.325024,200,3260.478051
-1733.720841,200,3260.570871
-403.604969,200,3260.663564
-278.318372,200,3260.755783
-13.713479,200,3260.849281
-282.634608,200,3260.941532
-409.989105,200,3261.034572
-406.065297,200,3261.43392
-17.606318,200,3261.527159
-144.263589,200,3261.620365
-146.823931,200,3261.713528
-156.642701,200,3261.805734
-13.584486,200,3261.897827
-418.596739,200,3261.991085
-407.148788,200,3262.08392
-275.948684,200,3262.176935
-276.582448,200,3262.270025
-525.962635,200,3262.660044
-264.033582,200,3262.753621
-282.543557,200,3262.846758
-442.910762,200,3262.939442
-832.531668,200,3263.033274
-276.736487,200,3263.126413
-144.870483,200,3263.219556
-138.563051,200,3263.312381
-400.067219,200,3263.404675
-278.734553,200,3263.497836
-142.343048,200,3263.590601
-412.976768,200,3264.001209
-389.931014,200,3264.09505
-653.916231,200,3264.187814
-281.937372,200,3264.280751
-145.940267,200,3264.372751
-672.955543,200,3264.465712
-411.031383,200,3264.558945
-269.841942,200,3264.651782
-399.98078,200,3264.744014
-275.505328,200,3264.836959
-15.223788,200,3265.249688
-549.353919,200,3265.343654
-524.779853,200,3265.436262
-293.715111,200,3265.528475
-530.595879,200,3265.622248
-278.570877,200,3265.715785
-533.760874,200,3265.807884
-396.901804,200,3265.901615
-398.895456,200,3265.993569
-466.617879,200,3266.086596
-1822.855763,200,3266.49454
-150.078795,200,3266.587937
-401.338278,200,3266.680214
-394.40555,200,3266.773783
-524.934668,200,3266.867148
-14.819541,200,3266.959719
-17.556524,200,3267.05339
-513.775256,200,3267.146347
-519.471316,200,3267.239168
-402.211161,200,3267.330947
-1808.118414,200,3267.7427
-254.68316,200,3267.836553
-401.767553,200,3267.929256
-408.425948,200,3268.022078
-366.499493,200,3268.114825
-144.263843,200,3268.207805
-16.64463,200,3268.300525
-277.796392,200,3268.393866
-565.283058,200,3268.487095
-274.672587,200,3268.578679
-396.910981,200,3268.669994
-278.622418,200,3269.093118
-280.293443,200,3269.18611
-520.64605,200,3269.280031
-416.06906,200,3269.372176
-530.961771,200,3269.466587
-517.235404,200,3269.558919
-498.777153,200,3269.652317
-14.169157,200,3269.74521
-531.045933,200,3269.837786
-528.417455,200,3269.930856
-401.413335,200,3270.334299
-141.305847,200,3270.427389
-143.562622,200,3270.5216
-145.389879,200,3270.614059
-528.420822,200,3270.706687
-407.916968,200,3270.800443
-626.562461,200,3270.893952
-401.931682,200,3270.986741
-530.851822,200,3271.079769
-635.704775,200,3271.172323
-403.011473,200,3271.572534
-143.37967,200,3271.6649
-277.993259,200,3271.757841
-521.888373,200,3271.850535
-795.251067,200,3271.942565
-527.557303,200,3272.036231
-144.700536,200,3272.12902
-1730.0497,200,3272.221291
-377.832991,200,3272.314252
-402.979212,200,3272.406597
-14.148019,200,3272.798418
-1731.093103,200,3272.890915
-1801.359505,200,3272.983193
-1745.340766,200,3273.075373
-141.851906,200,3273.168408
-1763.061837,200,3273.26174
-1727.048063,200,3273.354589
-13.604654,200,3273.447645
-136.936325,200,3273.540856
-410.21725,200,3273.633059
-14.878841,200,3273.726975
-530.05349,200,3274.115854
-281.896748,200,3274.209152
-138.859196,200,3274.302559
-526.542131,200,3274.394787
-13.462535,200,3274.487843
-654.814563,200,3274.580215
-1803.48717,200,3274.672992
-11.583467,200,3274.76638
-9.636947,200,3274.859488
-408.009951,200,3274.952619
-652.540445,200,3275.355335
-684.535499,200,3275.448174
-402.027558,200,3275.541493
-275.288837,200,3275.633873
-396.753094,200,3275.726012
-1747.952194,200,3275.819794
-404.873132,200,3275.913113
-142.071409,200,3276.012357
-12.250067,200,3276.106314
-406.624191,200,3276.199513
-401.192868,200,3276.608144
-535.417159,200,3276.701489
-521.090698,200,3276.793433
-1794.095121,200,3276.885983
-142.709668,200,3276.978663
-339.700761,200,3277.071533
-415.031704,200,3277.164817
-140.286072,200,3277.257071
-403.934035,200,3277.350116
-270.711267,200,3277.443555
-142.851513,200,3277.855019
-10.885597,200,3277.947816
-398.844672,200,3278.040913
-405.298487,200,3278.133788
-140.780186,200,3278.227221
-405.186088,200,3278.319839
-402.00242,200,3278.411872
-1717.270262,200,3278.50492
-404.298631,200,3278.597745
-406.625762,200,3278.690164
-1770.797853,200,3278.783297
-403.037695,200,3279.240154
-357.353093,200,3279.334678
-146.540795,200,3279.427001
-13.313129,200,3279.519468
-271.811771,200,3279.612676
-521.586821,200,3279.706162
-142.041946,200,3279.798572
-550.262421,200,3279.891787
-277.672671,200,3279.984006
-140.215569,200,3280.076861
-137.25424,200,3280.478346
-135.915647,200,3280.571063
-1774.566732,200,3280.66389
-403.83156,200,3280.757128
-403.706436,200,3280.850308
-1724.588103,200,3280.942571
-516.943126,200,3281.03623
-345.411154,200,3281.156406
-142.369985,200,3281.2748
-1780.199396,200,3281.368195
-146.31312,200,3281.779846
-673.039839,200,3281.871822
-394.55494,200,3281.964327
-279.7845,200,3282.057893
-144.835071,200,3492.233503
-515.148761,200,3492.493216
-282.841957,200,3492.595641
-1761.386525,200,3492.700033
-145.426251,200,3492.793788
-400.646177,200,3492.887655
-1776.883168,200,3493.334244
-276.945737,200,3493.429606
-411.010562,200,3488.729471
-394.74237,200,3488.825018
-279.334354,200,3488.921475
-263.547045,200,3489.015678
-139.482498,200,3489.108933
-143.459502,200,3489.202406
-398.717116,200,3489.295183
-402.789901,200,3489.387742
-262.898767,200,3489.789149
-142.278566,200,3489.881329
-279.066959,200,3489.974881
-397.218007,200,3490.068224
-276.972168,200,3490.16054
-1720.381233,200,3490.255035
-136.265153,200,3490.347309
-1775.949636,200,3490.440914
-139.377466,200,3490.533981
-277.591672,200,3490.62776
-404.218607,200,3490.720404
-1768.184322,200,3491.117304
-10.856465,200,3491.210559
-284.002404,200,3491.303187
-252.545056,200,3491.397464
-427.085354,200,3491.491271
-532.343824,200,3491.58452
-274.165125,200,3491.679008
-405.993061,200,3491.772578
-1768.125519,200,3491.865113
-144.496694,200,3491.958135
-10.32632,200,3492.348833
-400.940701,200,3492.442817
-11.862523,200,3492.535379
-141.453407,200,3492.6307
-301.622158,200,3492.727819
-10.859751,200,3492.822652
-283.181037,200,3492.916924
-1756.274324,200,3493.010195
-134.41243,200,3493.105367
-664.410604,200,3493.197781
-11.503538,200,3493.599099
-403.406723,200,3493.6927
-403.645718,200,3493.78839
-401.197555,200,3493.881967
-253.214214,200,3493.975588
-661.899259,200,3494.069135
-520.108021,200,3494.162081
-403.436175,200,3494.255594
-253.892885,200,3494.348382
-274.525845,200,3494.445388
-396.419132,200,3494.838543
-283.654654,200,3494.931749
-141.327199,200,3495.024163
-157.191088,200,3495.11837
-1782.655021,200,3495.21202
-259.107872,200,3495.305175
-409.3821,200,3495.399262
-142.873547,200,3495.491197
-685.035124,200,3495.584666
-300.129301,200,3495.677912
-572.7492,200,3495.770076
-156.014935,200,3496.163329
-1078.389018,200,3496.256555
-415.771448,200,3496.350486
-141.68278,200,3496.44392
-401.197317,200,3496.537526
-267.333417,200,3496.630457
-273.046329,200,3496.723089
-159.980965,200,3496.816966
-279.51526,200,3496.909952
-397.46785,200,3497.002788
-282.660765,200,3497.401773
-213.723071,200,3497.494441
-250.259106,200,3497.587658
-401.975904,200,3497.681106
-1777.309752,200,3497.774371
-536.811609,200,3497.866469
-402.890491,200,3497.958634
-276.247351,200,3498.051006
-10.719208,200,3498.701299
-553.433444,200,3499.781251
-10.632339,200,3504.767194
-448.340186,200,3505.599262
-155.623531,200,3506.419796
-406.618994,200,3507.235958
-142.059536,200,3507.884664
-527.564838,200,3508.171477
-144.019658,200,3508.404131
-10.935321,200,3508.59868
-31.976745,200,3508.77523
-1658.56714,200,3508.935291
-11.020541,200,3509.525211
-11.597761,200,3509.644928
-12.10425,200,3509.747455
-142.55235,200,3509.845783
-137.775473,200,3509.93937
-380.133779,200,3510.030502
-140.574192,200,3510.119616
-392.591436,200,3510.212608
-399.506896,200,3510.304882
-138.015939,200,3510.398096
-138.217628,200,3510.490707
-529.98042,200,3510.894232
-278.292134,200,3510.987603
-154.71655,200,3511.081229
-153.886253,200,3511.173297
-155.275696,200,3511.26602
-138.064351,200,3511.358908
-267.720071,200,3511.452106
-138.177116,200,3511.545771
-10.078455,200,3511.638466
-8.692753,200,3511.731051
-263.518029,200,3512.127729
-269.357502,200,3512.220204
-297.350786,200,3512.312685
-136.962249,200,3512.405445
-441.227661,200,3512.498011
-10.199818,200,3512.591023
-139.01058,200,3512.683447
-290.871289,200,3512.776353
-468.857402,200,3512.870318
-9.950209,200,3512.962604
-525.04662,200,3513.355761
-277.457657,200,3513.448473
-158.113814,200,3513.541213
-672.565901,200,3513.633891
-133.318305,200,3513.726854
-278.521599,200,3513.819524
-389.33142,200,3513.91256
-154.397441,200,3514.00559
-540.519585,200,3514.097942
-273.687296,200,3514.191087
-425.300545,200,3514.598459
-138.292078,200,3514.690717
-139.298729,200,3514.784521
-155.442533,200,3514.876983
-137.838939,200,3514.970301
-142.352271,200,3515.062664
-271.581248,200,3515.155585
-1815.800428,200,3515.249192
-140.520639,200,3515.342826
-403.367871,200,3515.435959
-630.56562,200,3515.5288
-12.30074,200,3515.933778
-29.979892,200,3516.027327
-410.232196,200,3516.12035
-12.638697,200,3516.213493
-281.47458,200,3516.306301
-538.051503,200,3516.399062
-156.060478,200,3516.492087
-11.431552,200,3516.58441
-1764.930626,200,3516.67757
-662.077477,200,3516.770248
-533.570858,200,3517.175937
-652.424886,200,3517.268403
-140.121904,200,3517.360892
-250.296702,200,3517.453253
-535.699979,200,3517.546826
-1814.093776,200,3517.640003
-11.017685,200,3517.732054
-262.134201,200,3517.824455
-12.261088,200,3517.915834
-271.730684,200,3518.009739
-623.751675,200,3518.421658
-146.718737,200,3518.514097
-251.50038,200,3518.606914
-10.010609,200,3518.700171
-393.57237,200,3518.792669
-1772.64952,200,3518.885709
-1779.394583,200,3518.978206
-1806.720094,200,3519.071945
-155.338019,200,3519.199574
-552.180321,200,3519.305072
-141.201152,200,3519.70698
-31.467163,200,3519.799977
-138.62243,200,3519.892795
-138.797437,200,3519.985093
-398.376975,200,3520.078054
-436.364472,200,3520.170551
-1807.266509,200,3520.263013
-267.455362,200,3520.356064
-138.99506,200,3520.448308
-142.49042,200,3520.540731
-404.439734,200,3520.634217
-272.328474,200,3521.042575
-161.113951,200,3521.166355
-141.066925,200,3521.271369
-258.263909,200,3521.363982
-1807.742442,200,3521.4567
-137.978865,200,3521.549887
-302.170635,200,3521.642257
-136.44982,200,3521.736205
-261.664848,200,3521.828203
-138.878359,200,3521.92019
-159.126403,200,3522.311966
-290.853415,200,3522.404354
-1782.749494,200,3522.498349
-273.311041,200,3522.591177
-260.876531,200,3522.684154
-257.135168,200,3522.777245
-134.856584,200,3522.868997
-10.899517,200,3522.961135
-287.648311,200,3523.053449
-138.390056,200,3523.146564
-140.632264,200,3523.539927
-268.635038,200,3523.633012
-159.565122,200,3523.725463
-143.678434,200,3523.818594
-135.836928,200,3523.910795
-250.87129,200,3524.004073
-137.392015,200,3524.09703
-402.109441,200,3524.189758
-268.222991,200,3524.282127
-11.185808,200,3524.374229
-269.246931,200,3524.770732
-142.536379,200,3524.863984
-404.280239,200,3524.956141
-144.400595,200,3525.049512
-588.197261,200,3525.14153
-137.578509,200,3525.234689
-263.167783,200,3525.330117
-272.440162,200,3525.422496
-140.243984,200,3525.5161
-273.969665,200,3525.608501
