# {"t_start": 1585585018.7087429, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-11.451403,999,218.923942
-10.956948,999,219.353943
-11.73008,999,219.831842
-12.522553,999,220.263448
-11.733839,999,220.738259
-11.180458,999,221.167689
-11.369605,999,221.646358
-11.695991,999,222.074117
-11.574759,999,222.551318
-12.26918,999,222.980651
-11.239891,999,223.411893
-11.074783,999,223.891404
-11.101683,999,224.323199
-10.989426,999,224.811845
-11.633794,999,225.241042
-9.861869,999,225.717049
-10.986941,999,226.148516
-10.719233,999,226.624184
-10.518018,999,227.054451
-10.947966,999,227.531747
-10.714381,999,227.968632
-10.819578,999,228.44925
-10.903091,999,228.880022
-11.304409,999,229.356642
-10.852159,999,229.785764
-11.110823,999,230.263684
-9.546811,999,230.693258
-10.659884,999,231.17132
-10.528312,999,231.60257
-11.083268,999,232.076166
-10.629544,999,232.506946
-11.039817,999,232.986614
-9.480327,999,233.416091
-10.79089,999,233.900284
-9.297451,999,234.355873
-9.729565,999,234.836612
-10.728222,999,235.257883
-10.187319,999,235.732575
-10.016334,999,236.155312
-9.914878,999,236.630137
-10.710851,999,237.058278
-9.887623,999,237.526301
-9.288259,999,237.954578
-9.196873,999,238.423389
-9.433503,999,238.863416
-9.605789,999,239.346943
-9.797342,999,239.781002
-9.468417,999,240.257513
-10.053227,999,240.686818
-9.57762,999,241.166763
-8.881262,999,241.635759
-9.49303,999,242.064932
-9.321394,999,242.542539
-8.885209,999,242.977386
-9.224624,999,243.502597
-9.835161,999,243.937277
-9.56606,999,244.415693
-9.12986,999,244.846338
-9.556535,999,245.347974
-8.970801,999,245.775199
-8.394291,999,246.252001
-8.726367,999,246.681585
-9.261152,999,247.162581
-9.080291,999,247.593307
-8.854543,999,248.069489
-8.62098,999,248.503937
-8.122827,999,248.987955
-8.767468,999,249.41897
-9.148354,999,249.897846
-8.577063,999,250.326769
-8.450955,999,250.80604
-8.937188,999,251.235611
-8.818975,999,251.713285
-8.782716,999,252.147344
-8.991827,999,252.631094
-8.592844,999,253.063377
-7.847696,999,253.543354
-8.84633,999,253.971323
-8.775693,999,254.449457
-8.967548,999,254.886664
-8.641515,999,255.36345
-8.101802,999,255.794841
-9.01878,999,256.270621
-8.112744,999,256.713628
-8.266015,999,257.191299
-8.809905,999,257.622039
-8.292678,999,258.101494
-7.977394,999,258.532357
-8.558709,999,259.013871
-8.361323,999,259.446907
-8.165966,999,259.9224
-7.503513,999,260.351323
-8.048834,999,260.786393
-7.79203,999,261.26185
-7.358428,999,261.688442
-7.928641,999,262.177325
-7.678014,999,262.606702
-7.55944,999,263.085849
-7.807723,999,263.515677
-8.189066,999,264.000076
-7.790231,999,264.43643
-7.83397,999,264.916888
-7.788192,999,265.345339
-7.732552,999,265.8188
-7.324524,999,266.249595
-7.423862,999,266.726478
-7.163924,999,267.15988
-7.631892,999,267.63736
-7.963736,999,268.074206
-7.321091,999,268.550429
-7.726421,999,268.999597
-7.473928,999,269.48887
-7.321835,999,269.922076
-7.081172,999,270.39884
-7.488242,999,270.828876
-7.249408,999,271.307725
-7.030715,999,271.774999
-6.983975,999,272.253289
-7.281314,999,272.682389
-7.079316,999,273.165274
-7.485452,999,273.642123
-7.437942,999,274.125495
-7.263418,999,274.554715
-7.253974,999,275.030722
-7.051415,999,275.460294
-7.382339,999,275.941443
-7.218521,999,276.37151
-7.80118,999,276.850576
-6.624894,999,277.281533
-6.703544,999,277.758373
-6.952183,999,278.187687
-7.292497,999,278.66808
-7.014164,999,279.105364
-6.877663,999,279.535074
-6.676523,999,280.021751
-6.517988,999,280.450575
-6.935782,999,280.944659
-6.807066,999,281.375193
-6.537884,999,281.860514
-6.905997,999,282.287727
-6.415645,999,282.782166
-6.30448,999,283.21183
-6.048494,999,283.688699
-6.382157,999,284.118884
-6.523915,999,284.594374
-6.418505,999,285.030023
-6.355065,999,285.508404
-6.477863,999,285.94058
-6.804475,999,286.415238
-6.274632,999,286.845125
-6.837148,999,287.322612
-6.298827,999,287.752605
-6.582694,999,288.236108
-6.228392,999,288.665678
-6.73005,999,289.147156
-6.195097,999,289.576297
-6.159434,999,290.056963
-6.175578,999,290.487511
-6.310753,999,290.973046
-6.420367,999,291.403753
-5.759119,999,291.884718
-6.53439,999,292.326624
-6.159189,999,292.81751
-5.749482,999,293.246048
-5.780435,999,293.730421
-5.965574,999,294.158487
-5.772758,999,294.636127
-5.859832,999,295.067416
-5.553665,999,295.540743
-5.831135,999,295.968349
-6.090943,999,296.445779
-5.917629,999,296.8811
-5.692172,999,297.35837
-5.669457,999,297.792096
-6.04347,999,298.222357
-5.848896,999,298.700858
-5.5481,999,299.123701
-5.968027,999,299.619433
-6.008804,999,300.053905
-5.20498,999,300.541173
-5.176297,999,300.974692
-5.528605,999,301.493545
-5.481519,999,301.922201
-5.032951,999,302.398624
-5.447847,999,302.835192
-5.561073,999,303.321729
-5.420753,999,303.795168
-5.534068,999,304.273803
-5.383058,999,304.717599
-5.186816,999,305.193568
-4.808699,999,305.623273
-5.256753,999,306.10534
