Time	Iteration	Evaluations	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
840.4954941272736	66	10	-1074.1176567426917	328.11230913255594	-745.1487549234894	-1722.4044664357036	2640000
851.6238894462585	67	10	-1043.7950163941346	325.3479801115296	-542.1562993605795	-1618.5479373351955	2680000
862.6810238361359	68	10	-1290.0603666170246	329.10377025844684	-629.1178209879247	-1861.3537030736084	2720000
874.0276107788086	69	10	-1202.6776519034734	345.1740228430311	-626.8257470305134	-1683.6127463486507	2760000
885.0670952796936	70	10	-1142.2298342764516	207.23356019619303	-862.6724004805213	-1437.0492221238528	2800000
895.4711005687714	71	10	-1302.6627857724325	340.59126136988004	-632.176480876928	-1731.0241144035142	2840000
906.1907680034637	72	10	-1135.4060062422227	338.47243991364184	-629.5506858549008	-1699.5707961007156	2880000
916.815003156662	73	10	-1133.3220371879927	365.2958539074071	-509.2372583873652	-1691.3005427659114	2920000
927.676097869873	74	10	-1260.5037821368628	378.9599047719538	-695.4509561537442	-1836.8429138406882	2960000
938.170211315155	75	10	-1133.521825301112	268.3491179509842	-623.3334455592778	-1567.8527829098002	3000000
948.7855501174927	76	10	-1283.6412907062452	377.2162410749548	-503.9498334048433	-1836.4842202273312	3040000
959.4180684089661	77	10	-950.6918848212921	233.8951863543851	-636.5764109166238	-1491.5236783007388	3080000
970.0110397338867	78	10	-1270.2927096757046	354.99238660943854	-753.8026499713415	-1787.493698705081	3120000
980.5332090854645	79	10	-1131.2443423770503	239.53740583592926	-609.8542855887639	-1446.5758926666526	3160000
991.1556060314178	80	10	-1011.0114432956082	222.36550616847495	-637.0502102201763	-1292.3783564789574	3200000
1001.867333650589	81	10	-1276.2835973096885	306.49779366403374	-627.3854676152645	-1678.3436614084917	3240000
1012.3751709461212	82	10	-951.6864605874844	320.0648027126405	-502.5800290512347	-1575.0756001887153	3280000
1022.5057752132416	83	10	-1190.2287052667305	323.104143345345	-618.308589116247	-1625.0114594972886	3320000
1033.1506814956665	84	10	-1168.9848176444398	385.31470056443453	-504.7299083003797	-1757.8226466692322	3360000
1043.2302680015564	85	10	-1276.7367266856293	303.00944454350264	-845.0469252597545	-1905.0117670064951	3400000
1053.365983247757	86	10	-1062.1128150349446	151.19514787125703	-748.2061352593727	-1252.4417212941107	3440000
1063.2916865348816	87	10	-1276.3218154714236	289.21866535179	-900.7488763647171	-1751.2656547962126	3480000
1073.1310992240906	88	10	-1186.9034507256795	396.0648019071415	-644.9384492202169	-1708.807659333597	3520000
1083.3132617473602	89	10	-1253.7922290341228	343.1586124100347	-627.2143813977518	-1849.3407624457468	3560000
1093.3627099990845	90	10	-1098.102476200125	315.11749327550683	-626.8619498763409	-1595.2129191644733	3600000
1103.5367639064789	91	10	-1208.6762291963803	375.19428564693817	-573.9138315013724	-1832.4493852130072	3640000
1113.081554889679	92	10	-1230.7812409650817	216.16512117336595	-863.6352546326087	-1595.5714537725044	3680000
1122.827939748764	93	10	-1349.421463539296	381.2295624149311	-630.6685223336351	-1868.371136297815	3720000
1132.4209818840027	94	10	-1068.7850892399338	360.19626940304147	-509.746218387826	-1779.5905253478043	3760000
1142.4219632148743	95	10	-1243.080487067573	293.70712340346563	-641.7547336246645	-1901.208723841088	3800000
1151.7187657356262	96	10	-1110.8500091033359	374.3637402362057	-626.7873296374695	-1644.1837102178986	3840000
1162.0737698078156	97	10	-1311.0901402370753	273.7565359395912	-642.9572059029733	-1607.7538721199758	3880000
1172.2601549625397	98	10	-1130.7959398264948	426.96751981959113	-631.6421429054566	-1847.3467939005618	3920000
1182.7872939109802	99	10	-1087.2800594662426	349.72545117193266	-629.7184263645727	-1561.0767748136054	3960000
1193.9743881225586	100	10	-1061.1868938617822	356.54753179166124	-520.6215998959987	-1619.1945816483515	4000000
1204.5129776000977	101	10	-1174.6364281878907	322.82913125203953	-632.4021093753964	-1719.5617925998217	4040000
1214.7825198173523	102	10	-1012.4968886375163	233.42241788817532	-639.0032031838193	-1299.6725147526097	4080000
1225.1523761749268	103	10	-1234.7835163877085	197.50037884934122	-960.4309391567284	-1536.153154270691	4120000
1235.8306443691254	104	10	-1237.7161910680302	300.06632016948276	-511.91711481950443	-1622.279142158214	4160000
1246.35471200943	105	10	-1160.3163875115113	462.1831420721173	-512.5616255693261	-1861.0774584287938	4200000
1256.0901582241058	106	10	-1365.9168271175377	323.72406945645537	-893.8869458351869	-1785.7289807789646	4240000
1266.0719945430756	107	10	-1312.7641482378713	331.2857128716099	-649.1888346919937	-1908.4311433104237	4280000
1276.5839178562164	108	10	-1152.2217858947658	275.74361772736273	-621.3428549263008	-1637.3329557086954	4320000
1286.5008187294006	109	10	-1092.3513991015805	417.5633991748745	-606.6848415052186	-1804.634028196774	4360000
